self.yaw: -3.0940194129943848
self.home: array('f', [2.7604830265045166, -2.170119524002075, 0.4890406131744385])
shift: [0. 0. 0.]
apriltag bezier - count : 876,   delta_t : 1,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.64665604 -2.09849095 -9.27282715]
apriltag bezier - count : 876,   delta_t : 2,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.65368223 -2.10297918 -9.27602673]
apriltag bezier - count : 876,   delta_t : 3,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.65822101 -2.10584068 -9.27829361]
apriltag bezier - count : 876,   delta_t : 4,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.66045117 -2.10737872 -9.27944565]
apriltag bezier - count : 876,   delta_t : 5,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.6649394  -2.11048198 -9.28170395]
apriltag bezier - count : 876,   delta_t : 6,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.67155957 -2.11513638 -9.28454876]
apriltag bezier - count : 876,   delta_t : 7,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.67606759 -2.11812139 -9.28599072]
apriltag bezier - count : 876,   delta_t : 8,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.67820597 -2.11959291 -9.28670216]
apriltag bezier - count : 876,   delta_t : 9,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.68259025 -2.12244773 -9.28757572]
apriltag bezier - count : 876,   delta_t : 10,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.68883443 -2.12683988 -9.28820896]
apriltag bezier - count : 876,   delta_t : 11,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.69274521 -2.12981343 -9.28847218]
apriltag bezier - count : 876,   delta_t : 12,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.69469666 -2.13131428 -9.28848267]
apriltag bezier - count : 876,   delta_t : 13,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.69837523 -2.13416004 -9.28838921]
apriltag bezier - count : 876,   delta_t : 14,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.70202851 -2.13693762 -9.28812695]
apriltag bezier - count : 876,   delta_t : 15,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.70728707 -2.14095092 -9.2872057 ]
apriltag bezier - count : 876,   delta_t : 16,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.71066236 -2.14362168 -9.28641033]
apriltag bezier - count : 876,   delta_t : 17,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.71236873 -2.1449666  -9.28601646]
apriltag bezier - count : 876,   delta_t : 18,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.71588039 -2.14755392 -9.28503418]
apriltag bezier - count : 876,   delta_t : 19,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.71895742 -2.14983559 -9.28369141]
apriltag bezier - count : 876,   delta_t : 20,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.72335958 -2.15323234 -9.2815237 ]
apriltag bezier - count : 876,   delta_t : 21,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.7248764  -2.15429258 -9.28081989]
apriltag bezier - count : 876,   delta_t : 22,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.72793818 -2.15639997 -9.27945232]
apriltag bezier - count : 876,   delta_t : 23,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.73089004 -2.15861154 -9.27822971]
apriltag bezier - count : 876,   delta_t : 24,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.7335546  -2.16082644 -9.27703857]
apriltag bezier - count : 876,   delta_t : 25,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.73778963 -2.16432428 -9.27540112]
apriltag bezier - count : 876,   delta_t : 26,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.73918056 -2.165411   -9.27480125]
apriltag bezier - count : 876,   delta_t : 27,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.74184918 -2.16748214 -9.27382755]
apriltag bezier - count : 876,   delta_t : 28,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.74471235 -2.16954803 -9.2730093 ]
apriltag bezier - count : 876,   delta_t : 29,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.74877715 -2.17218423 -9.27193165]
apriltag bezier - count : 876,   delta_t : 30,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.75141144 -2.17405581 -9.27154732]
apriltag bezier - count : 876,   delta_t : 31,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.75271106 -2.17506623 -9.2712431 ]
apriltag bezier - count : 876,   delta_t : 32,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.75663924 -2.17797065 -9.27034092]
apriltag bezier - count : 876,   delta_t : 33,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.75918818 -2.17985582 -9.26977634]
apriltag bezier - count : 876,   delta_t : 34,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.76050782 -2.18077826 -9.26943779]
apriltag bezier - count : 876,   delta_t : 35,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.76323342 -2.18242502 -9.2688961 ]
apriltag bezier - count : 876,   delta_t : 36,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.76739788 -2.18498707 -9.26812553]
apriltag bezier - count : 876,   delta_t : 37,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.76875997 -2.1858561  -9.26797962]
apriltag bezier - count : 876,   delta_t : 38,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.77287221 -2.18850207 -9.26724815]
apriltag bezier - count : 876,   delta_t : 39,   xf : [ 3.34841943 -1.59081495 -0.51403248],   vehicle_position : [ 2.77417326 -2.18942881 -9.26684189]
apriltag bezier - count : 862,   delta_t : 1,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.7818625  -2.19492888 -9.26452255]
apriltag bezier - count : 862,   delta_t : 2,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.78440404 -2.19688058 -9.26401997]
apriltag bezier - count : 862,   delta_t : 3,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.78662682 -2.19906664 -9.26336193]
apriltag bezier - count : 862,   delta_t : 4,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.78883338 -2.20132279 -9.26290989]
apriltag bezier - count : 862,   delta_t : 5,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.79100513 -2.20361924 -9.26252937]
apriltag bezier - count : 862,   delta_t : 6,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.7944212  -2.20726275 -9.26207733]
apriltag bezier - count : 862,   delta_t : 7,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.79558849 -2.20851755 -9.26193619]
apriltag bezier - count : 862,   delta_t : 8,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.7977829  -2.21076465 -9.26145744]
apriltag bezier - count : 862,   delta_t : 9,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.79993033 -2.21314502 -9.26126957]
apriltag bezier - count : 862,   delta_t : 10,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.80319977 -2.21641326 -9.26130867]
apriltag bezier - count : 862,   delta_t : 11,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.8043251  -2.21750593 -9.26132202]
apriltag bezier - count : 862,   delta_t : 12,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.80785441 -2.22075987 -9.2610302 ]
apriltag bezier - count : 862,   delta_t : 13,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.81019306 -2.22291589 -9.26029873]
apriltag bezier - count : 862,   delta_t : 14,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.81132174 -2.22395134 -9.25999641]
apriltag bezier - count : 862,   delta_t : 15,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.81375837 -2.22620368 -9.25943565]
apriltag bezier - count : 862,   delta_t : 16,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.8160615  -2.22852135 -9.25889397]
apriltag bezier - count : 862,   delta_t : 17,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.81826496 -2.23070168 -9.25823593]
apriltag bezier - count : 862,   delta_t : 18,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.82050824 -2.23289967 -9.25745106]
apriltag bezier - count : 862,   delta_t : 19,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.82241368 -2.23491645 -9.25605202]
apriltag bezier - count : 862,   delta_t : 20,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.8242631  -2.23700666 -9.25470924]
apriltag bezier - count : 862,   delta_t : 21,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.82683587 -2.24007702 -9.25272655]
apriltag bezier - count : 862,   delta_t : 22,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.82774973 -2.24102545 -9.25210381]
apriltag bezier - count : 862,   delta_t : 23,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.83029962 -2.24412537 -9.24966526]
apriltag bezier - count : 862,   delta_t : 24,   xf : [ 3.31095147 -1.43621016 -0.68701923],   vehicle_position : [ 2.83178186 -2.24610949 -9.24813271]
