self.yaw: 1.6196491718292236
self.home: array('f', [-0.005611014552414417, -0.0011992281069979072, 0.3003987669944763])
apriltag bezier - count : 992,   delta_t : 40,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14411597 -0.06942748 -7.91400385]
apriltag bezier - count : 992,   delta_t : 41,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14439063 -0.0695436  -7.90655327]
apriltag bezier - count : 992,   delta_t : 42,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14469181 -0.06992186 -7.89485645]
apriltag bezier - count : 992,   delta_t : 43,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14481127 -0.07030524 -7.88673878]
apriltag bezier - count : 992,   delta_t : 44,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14485614 -0.07078902 -7.87838507]
apriltag bezier - count : 992,   delta_t : 45,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14478947 -0.0716851  -7.86544991]
apriltag bezier - count : 992,   delta_t : 46,   xf : [-1.59898388 -1.42343855  1.30519593],   vehicle_position : [-0.14456096 -0.07278262 -7.85207605]
apriltag bezier - count : 937,   delta_t : 1,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14430314 -0.07360981 -7.8429122 ]
apriltag bezier - count : 937,   delta_t : 2,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14369725 -0.07496977 -7.82869148]
apriltag bezier - count : 937,   delta_t : 3,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14314403 -0.07596169 -7.81891918]
apriltag bezier - count : 937,   delta_t : 4,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14251645 -0.07655834 -7.80609846]
apriltag bezier - count : 937,   delta_t : 5,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14248    -0.07571279 -7.80030727]
apriltag bezier - count : 937,   delta_t : 6,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14213553 -0.07462303 -7.79158211]
apriltag bezier - count : 937,   delta_t : 7,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14169748 -0.07401703 -7.78578758]
apriltag bezier - count : 937,   delta_t : 8,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.14072268 -0.07327093 -7.7771039 ]
apriltag bezier - count : 937,   delta_t : 9,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.139865   -0.07286069 -7.7712779 ]
apriltag bezier - count : 937,   delta_t : 10,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13829906 -0.07235957 -7.76240873]
apriltag bezier - count : 937,   delta_t : 11,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.1370841  -0.07208339 -7.75638294]
apriltag bezier - count : 937,   delta_t : 12,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13573113 -0.07185089 -7.75023317]
apriltag bezier - count : 937,   delta_t : 13,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13347745 -0.07154834 -7.74071407]
apriltag bezier - count : 937,   delta_t : 14,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13093793 -0.07131464 -7.73078108]
apriltag bezier - count : 937,   delta_t : 15,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13100511 -0.06944729 -7.72763157]
apriltag bezier - count : 937,   delta_t : 16,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.1307658  -0.06680569 -7.72217989]
apriltag bezier - count : 937,   delta_t : 17,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13038155 -0.06515754 -7.71810627]
apriltag bezier - count : 937,   delta_t : 18,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12949693 -0.06284658 -7.71136999]
