self.yaw: 1.4561513662338257
self.home: array('f', [-0.15405219793319702, 0.32769978046417236, -0.7479087710380554])
shift: [0. 0. 0.]
apriltag bezier - count : 1372,   delta_t : 1,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.11655734   0.1324393  -12.64859295]
apriltag bezier - count : 1372,   delta_t : 2,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.11825737   0.13331169 -12.63099766]
apriltag bezier - count : 1372,   delta_t : 3,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.11936363   0.13385589 -12.61902046]
apriltag bezier - count : 1372,   delta_t : 4,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12044601   0.13438334 -12.60728455]
apriltag bezier - count : 1372,   delta_t : 5,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12097859   0.13464049 -12.60167313]
apriltag bezier - count : 1372,   delta_t : 6,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12252386   0.13538906 -12.58622456]
apriltag bezier - count : 1372,   delta_t : 7,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12350105   0.13587433 -12.57715416]
apriltag bezier - count : 1372,   delta_t : 8,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12444478   0.13633503 -12.56910801]
apriltag bezier - count : 1372,   delta_t : 9,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12582193   0.13695624 -12.55859566]
apriltag bezier - count : 1372,   delta_t : 10,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12672639   0.13730091 -12.55245304]
apriltag bezier - count : 1372,   delta_t : 11,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12762308   0.13757652 -12.54691315]
apriltag bezier - count : 1372,   delta_t : 12,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.12896214   0.1378433  -12.53933811]
apriltag bezier - count : 1372,   delta_t : 13,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.13013668   0.13874771 -12.53707123]
apriltag bezier - count : 1372,   delta_t : 14,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.13093595   0.13920161 -12.53558636]
apriltag bezier - count : 1372,   delta_t : 15,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.13216618   0.13966066 -12.53313446]
apriltag bezier - count : 1372,   delta_t : 16,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.13300481   0.13982387 -12.53128815]
apriltag bezier - count : 1372,   delta_t : 17,   xf : [-1.52965188 -1.73113728  0.81800783],   vehicle_position : [ -0.1338682    0.13986821 -12.52930927]
