self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
apriltag bezier - count : 598,   delta_t : 21,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4104535    0.61120564 -22.00021744]
apriltag bezier - count : 598,   delta_t : 22,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4103713    0.61184174 -21.99725914]
apriltag bezier - count : 598,   delta_t : 23,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.41005516   0.61373407 -21.98819733]
apriltag bezier - count : 598,   delta_t : 24,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40980372   0.61506259 -21.98187447]
apriltag bezier - count : 598,   delta_t : 25,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4094339    0.61643541 -21.97500229]
apriltag bezier - count : 598,   delta_t : 26,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40927535   0.61771691 -21.96798515]
apriltag bezier - count : 598,   delta_t : 27,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40908763   0.61900634 -21.96103477]
apriltag bezier - count : 598,   delta_t : 28,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40871876   0.62013483 -21.95393562]
apriltag bezier - count : 598,   delta_t : 29,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40846533   0.62102377 -21.94632149]
apriltag bezier - count : 598,   delta_t : 30,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40828422   0.62141407 -21.94226456]
apriltag bezier - count : 598,   delta_t : 31,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40799412   0.62255865 -21.93048477]
apriltag bezier - count : 598,   delta_t : 32,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40783337   0.62338132 -21.92252731]
apriltag bezier - count : 598,   delta_t : 33,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40765974   0.62422097 -21.91446686]
apriltag bezier - count : 598,   delta_t : 34,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40739667   0.62502199 -21.90627861]
apriltag bezier - count : 598,   delta_t : 35,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40697476   0.62583089 -21.89790726]
apriltag bezier - count : 598,   delta_t : 36,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.4065522    0.62642533 -21.88944626]
apriltag bezier - count : 598,   delta_t : 37,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40610188   0.62704641 -21.88124084]
apriltag bezier - count : 598,   delta_t : 38,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40574327   0.62782198 -21.87309265]
apriltag bezier - count : 598,   delta_t : 39,   xf : [  0.81888032   1.05276728 -10.20540428],   vehicle_position : [ -0.40527141   0.62848473 -21.86460876]
