self.yaw: -2.778215169906616
self.home: array('f', [0.0726923793554306, 0.6359039545059204, 3.1788148880004883])
edge case - count_goal : 489,   delta_t_goal : 39,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [-1.20226259e-03  6.83160782e-01 -6.51068735e+00]
edge case - count_goal : 489,   delta_t_goal : 40,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 2.89602554e-04  6.83603227e-01 -6.50514364e+00]
edge case - count_goal : 489,   delta_t_goal : 41,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 1.60916161e-03  6.84094727e-01 -6.49954891e+00]
edge case - count_goal : 489,   delta_t_goal : 42,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 3.03523079e-03  6.84491813e-01 -6.49397755e+00]
edge case - count_goal : 489,   delta_t_goal : 43,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 4.45650332e-03  6.84855223e-01 -6.48817873e+00]
edge case - count_goal : 489,   delta_t_goal : 44,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 5.70224319e-03  6.85382128e-01 -6.48215055e+00]
edge case - count_goal : 489,   delta_t_goal : 45,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.00693027  0.68594587 -6.47594595]
edge case - count_goal : 489,   delta_t_goal : 46,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.00822617  0.68641222 -6.46960735]
edge case - count_goal : 489,   delta_t_goal : 47,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.00918219  0.68708843 -6.46318197]
edge case - count_goal : 489,   delta_t_goal : 48,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01023996  0.68768257 -6.45670986]
edge case - count_goal : 489,   delta_t_goal : 49,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01133923  0.68821687 -6.45020914]
edge case - count_goal : 489,   delta_t_goal : 50,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01250456  0.68880916 -6.44364357]
edge case - count_goal : 489,   delta_t_goal : 51,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01368759  0.68920046 -6.43700457]
edge case - count_goal : 489,   delta_t_goal : 52,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0148833   0.68955225 -6.43028975]
edge case - count_goal : 489,   delta_t_goal : 53,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01616372  0.68989319 -6.42345762]
edge case - count_goal : 489,   delta_t_goal : 54,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01743151  0.69002068 -6.41646719]
edge case - count_goal : 489,   delta_t_goal : 55,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01857972  0.69018996 -6.40925789]
edge case - count_goal : 489,   delta_t_goal : 56,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.01924511  0.69023412 -6.4055748 ]
edge case - count_goal : 489,   delta_t_goal : 57,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0210099   0.69024962 -6.39444351]
edge case - count_goal : 489,   delta_t_goal : 58,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02212466  0.69028032 -6.38681269]
edge case - count_goal : 489,   delta_t_goal : 59,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02338094  0.69025904 -6.37877703]
edge case - count_goal : 489,   delta_t_goal : 60,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02436646  0.69024169 -6.37060452]
edge case - count_goal : 489,   delta_t_goal : 61,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02476675  0.69020873 -6.36648893]
edge case - count_goal : 489,   delta_t_goal : 62,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02616001  0.68995231 -6.35414886]
edge case - count_goal : 489,   delta_t_goal : 63,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02715022  0.68970925 -6.34590387]
edge case - count_goal : 489,   delta_t_goal : 64,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02823406  0.68935573 -6.3376441 ]
edge case - count_goal : 489,   delta_t_goal : 65,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.02917369  0.68895018 -6.32940197]
edge case - count_goal : 489,   delta_t_goal : 66,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03000294  0.68857217 -6.3210206 ]
edge case - count_goal : 489,   delta_t_goal : 67,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03098734  0.68818372 -6.31248713]
edge case - count_goal : 489,   delta_t_goal : 68,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03183506  0.68774146 -6.3039403 ]
edge case - count_goal : 489,   delta_t_goal : 69,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03229064  0.68748039 -6.29965687]
edge case - count_goal : 489,   delta_t_goal : 70,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03346489  0.6865769  -6.28692198]
edge case - count_goal : 489,   delta_t_goal : 71,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03402612  0.68572342 -6.27821016]
edge case - count_goal : 489,   delta_t_goal : 72,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03476716  0.68486309 -6.26931429]
edge case - count_goal : 489,   delta_t_goal : 73,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03565178  0.68397605 -6.26015043]
edge case - count_goal : 489,   delta_t_goal : 74,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03601665  0.68349266 -6.25554132]
edge case - count_goal : 489,   delta_t_goal : 75,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03712797  0.68213952 -6.24138594]
edge case - count_goal : 489,   delta_t_goal : 76,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03746792  0.68172795 -6.23662567]
edge case - count_goal : 489,   delta_t_goal : 77,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03837353  0.68032372 -6.22230053]
edge case - count_goal : 489,   delta_t_goal : 78,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03910255  0.67927474 -6.21265745]
edge case - count_goal : 489,   delta_t_goal : 79,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.03951579  0.67877918 -6.20778179]
edge case - count_goal : 489,   delta_t_goal : 80,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04036409  0.6770516  -6.1928792 ]
edge case - count_goal : 489,   delta_t_goal : 81,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04074783  0.67586124 -6.1827693 ]
edge case - count_goal : 489,   delta_t_goal : 82,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04109288  0.67464286 -6.17257595]
edge case - count_goal : 489,   delta_t_goal : 83,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04158181  0.67348188 -6.16217899]
edge case - count_goal : 489,   delta_t_goal : 84,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0418552   0.67288709 -6.15693903]
edge case - count_goal : 489,   delta_t_goal : 85,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04246974  0.67109293 -6.1411624 ]
edge case - count_goal : 489,   delta_t_goal : 86,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04278225  0.6698485  -6.1304965 ]
edge case - count_goal : 489,   delta_t_goal : 87,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04314661  0.66866362 -6.1196332 ]
edge case - count_goal : 489,   delta_t_goal : 88,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04352909  0.66750747 -6.1085062 ]
edge case - count_goal : 489,   delta_t_goal : 89,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04377254  0.66688406 -6.10295677]
edge case - count_goal : 489,   delta_t_goal : 90,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04460072  0.66515166 -6.08639097]
edge case - count_goal : 489,   delta_t_goal : 91,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0452771   0.66411805 -6.07556915]
edge case - count_goal : 489,   delta_t_goal : 92,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04606423  0.66292089 -6.06459188]
edge case - count_goal : 489,   delta_t_goal : 93,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04679225  0.66173315 -6.05351162]
edge case - count_goal : 489,   delta_t_goal : 94,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04756852  0.6605823  -6.04223108]
edge case - count_goal : 489,   delta_t_goal : 95,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04852574  0.6594587  -6.03081226]
edge case - count_goal : 489,   delta_t_goal : 96,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.04927581  0.65814286 -6.01943636]
edge case - count_goal : 489,   delta_t_goal : 97,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.050047    0.6567142  -6.00805807]
edge case - count_goal : 489,   delta_t_goal : 98,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05090293  0.65522367 -5.99662495]
edge case - count_goal : 489,   delta_t_goal : 99,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05176336  0.65372318 -5.98506784]
edge case - count_goal : 489,   delta_t_goal : 100,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0520533   0.65215307 -5.97333574]
edge case - count_goal : 489,   delta_t_goal : 101,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05248285  0.65061003 -5.96153593]
edge case - count_goal : 489,   delta_t_goal : 102,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05304176  0.64910269 -5.9495635 ]
edge case - count_goal : 489,   delta_t_goal : 103,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05365732  0.64752465 -5.93746376]
edge case - count_goal : 489,   delta_t_goal : 104,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05431533  0.64590907 -5.92516661]
edge case - count_goal : 489,   delta_t_goal : 105,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05507448  0.64431357 -5.91260529]
edge case - count_goal : 489,   delta_t_goal : 106,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05535491  0.64359033 -5.90622997]
edge case - count_goal : 489,   delta_t_goal : 107,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05648928  0.64144158 -5.88692856]
edge case - count_goal : 489,   delta_t_goal : 108,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05730924  0.63999254 -5.87390709]
edge case - count_goal : 489,   delta_t_goal : 109,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05817711  0.63854194 -5.86067152]
edge case - count_goal : 489,   delta_t_goal : 110,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05857883  0.63775456 -5.85400343]
edge case - count_goal : 489,   delta_t_goal : 111,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.05987684  0.63552433 -5.8338871 ]
edge case - count_goal : 489,   delta_t_goal : 112,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06083671  0.63403851 -5.82021713]
edge case - count_goal : 489,   delta_t_goal : 113,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06185717  0.63255101 -5.8063736 ]
edge case - count_goal : 489,   delta_t_goal : 114,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06293239  0.63090956 -5.79233313]
edge case - count_goal : 489,   delta_t_goal : 115,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06386506  0.62921184 -5.77816677]
edge case - count_goal : 489,   delta_t_goal : 116,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.0642981   0.62836683 -5.77103329]
edge case - count_goal : 489,   delta_t_goal : 117,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.06558972  0.62582868 -5.74945927]
