self.yaw: -3.0998754501342773
self.home: array('f', [3.942152738571167, -2.698303461074829, 1.8055087327957153])
apriltag bezier - count : 415,   delta_t : 16,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87076545 -2.76057839 -7.78704309]
apriltag bezier - count : 415,   delta_t : 17,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87135363 -2.76011324 -7.77853012]
apriltag bezier - count : 415,   delta_t : 18,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87206435 -2.75980139 -7.7696414 ]
apriltag bezier - count : 415,   delta_t : 19,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87279201 -2.75938344 -7.76076937]
apriltag bezier - count : 415,   delta_t : 20,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87319231 -2.75921559 -7.75632715]
apriltag bezier - count : 415,   delta_t : 21,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87436748 -2.75870013 -7.74297333]
apriltag bezier - count : 415,   delta_t : 22,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87524796 -2.75828362 -7.73407555]
apriltag bezier - count : 415,   delta_t : 23,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87590647 -2.75809741 -7.72501373]
apriltag bezier - count : 415,   delta_t : 24,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87666488 -2.75798416 -7.71587563]
apriltag bezier - count : 415,   delta_t : 25,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87735963 -2.75782704 -7.70672369]
apriltag bezier - count : 415,   delta_t : 26,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87806249 -2.75772882 -7.69750023]
apriltag bezier - count : 415,   delta_t : 27,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87897372 -2.75752091 -7.68830156]
apriltag bezier - count : 415,   delta_t : 28,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.87938499 -2.75740504 -7.68373632]
apriltag bezier - count : 415,   delta_t : 29,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88060045 -2.757447   -7.66940498]
apriltag bezier - count : 415,   delta_t : 30,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88137341 -2.75749183 -7.6594286 ]
apriltag bezier - count : 415,   delta_t : 31,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.8821578  -2.75749969 -7.64932156]
apriltag bezier - count : 415,   delta_t : 32,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88304734 -2.75749326 -7.63913345]
apriltag bezier - count : 415,   delta_t : 33,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88357353 -2.75737953 -7.63393545]
apriltag bezier - count : 415,   delta_t : 34,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88513947 -2.75715446 -7.61784506]
apriltag bezier - count : 415,   delta_t : 35,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.8862102  -2.75712252 -7.60715485]
apriltag bezier - count : 415,   delta_t : 36,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88742423 -2.75698447 -7.59658766]
apriltag bezier - count : 415,   delta_t : 37,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88871336 -2.75695896 -7.58601904]
apriltag bezier - count : 415,   delta_t : 38,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.88985968 -2.75714588 -7.57499695]
apriltag bezier - count : 415,   delta_t : 39,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89106894 -2.75727367 -7.56386852]
apriltag bezier - count : 415,   delta_t : 40,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89239359 -2.75742364 -7.55259848]
apriltag bezier - count : 415,   delta_t : 41,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89382458 -2.75751686 -7.54147911]
apriltag bezier - count : 415,   delta_t : 42,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89532971 -2.75750637 -7.53044224]
apriltag bezier - count : 415,   delta_t : 43,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89606667 -2.75767541 -7.52479553]
apriltag bezier - count : 415,   delta_t : 44,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89823484 -2.75832748 -7.50831366]
apriltag bezier - count : 415,   delta_t : 45,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.89975882 -2.75878692 -7.49740839]
apriltag bezier - count : 415,   delta_t : 46,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.90133882 -2.75932026 -7.48639202]
apriltag bezier - count : 415,   delta_t : 47,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.90294528 -2.75982285 -7.47523308]
apriltag bezier - count : 415,   delta_t : 48,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.90435362 -2.76009393 -7.46368837]
apriltag bezier - count : 415,   delta_t : 49,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.90576434 -2.76029563 -7.45192623]
apriltag bezier - count : 415,   delta_t : 50,   xf : [ 3.88532376 -2.30339837  0.39657936],   vehicle_position : [ 3.90735579 -2.76045251 -7.43991709]
apriltag bezier - count : 398,   delta_t : 1,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.90981483 -2.76066637 -7.4221077 ]
apriltag bezier - count : 398,   delta_t : 2,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91066146 -2.76072454 -7.41620636]
apriltag bezier - count : 398,   delta_t : 3,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91216683 -2.76093459 -7.40421915]
apriltag bezier - count : 398,   delta_t : 4,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91361547 -2.76128268 -7.39185476]
apriltag bezier - count : 398,   delta_t : 5,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91506004 -2.7615459  -7.3795166 ]
apriltag bezier - count : 398,   delta_t : 6,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91661334 -2.76170945 -7.36735916]
apriltag bezier - count : 398,   delta_t : 7,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91821027 -2.76189327 -7.35528851]
apriltag bezier - count : 398,   delta_t : 8,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.91982889 -2.76213408 -7.34306574]
apriltag bezier - count : 398,   delta_t : 9,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92154241 -2.76247668 -7.33054972]
apriltag bezier - count : 398,   delta_t : 10,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92321134 -2.76282978 -7.3180027 ]
apriltag bezier - count : 398,   delta_t : 11,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92490029 -2.76305532 -7.30539227]
apriltag bezier - count : 398,   delta_t : 12,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92576385 -2.76316524 -7.29912233]
apriltag bezier - count : 398,   delta_t : 13,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92811775 -2.76358628 -7.27979708]
apriltag bezier - count : 398,   delta_t : 14,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.92951441 -2.76386237 -7.26681995]
apriltag bezier - count : 398,   delta_t : 15,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93019319 -2.76396251 -7.26030588]
apriltag bezier - count : 398,   delta_t : 16,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93213797 -2.7642467  -7.24064589]
apriltag bezier - count : 398,   delta_t : 17,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.93356705 -2.76443219 -7.22763062]
