self.yaw: 0.7612762451171875
self.home: array('f', [-2.024801015853882, -0.8822138905525208, -3.898160934448242])
apriltag bezier - count : 986,   delta_t : 41,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.53884602e+00  8.04108381e-03 -8.81454563e+00]
apriltag bezier - count : 986,   delta_t : 42,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.50233555 -0.01825229 -8.78433132]
apriltag bezier - count : 986,   delta_t : 43,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.49089956 -0.02641737 -8.77433109]
apriltag bezier - count : 986,   delta_t : 44,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.46910763 -0.04182979 -8.75450993]
apriltag bezier - count : 986,   delta_t : 45,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.43906403 -0.06262185 -8.72529888]
apriltag bezier - count : 986,   delta_t : 46,   xf : [-1.6831944  -0.90613008 -0.63992608],   vehicle_position : [-4.42074537 -0.0748811  -8.7061882 ]
apriltag bezier - count : 822,   delta_t : 1,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.39571428 -0.0907711  -8.67821598]
apriltag bezier - count : 822,   delta_t : 2,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.38059759 -0.09963921 -8.66016865]
apriltag bezier - count : 822,   delta_t : 3,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.36014652 -0.1102636  -8.63403606]
apriltag bezier - count : 822,   delta_t : 4,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.33937216 -0.11890151 -8.60704994]
apriltag bezier - count : 822,   delta_t : 5,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.32324553 -0.12443218 -8.58728313]
apriltag bezier - count : 822,   delta_t : 6,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.30135441 -0.12978451 -8.55975533]
apriltag bezier - count : 822,   delta_t : 7,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28824425 -0.13168401 -8.54254055]
apriltag bezier - count : 822,   delta_t : 8,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28210974 -0.13221774 -8.53416634]
apriltag bezier - count : 822,   delta_t : 9,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28210974 -0.13221774 -8.53416634]
apriltag bezier - count : 822,   delta_t : 10,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28210974 -0.13221774 -8.53416634]
apriltag bezier - count : 822,   delta_t : 11,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28210974 -0.13221774 -8.53416634]
apriltag bezier - count : 822,   delta_t : 12,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.28210974 -0.13221774 -8.53416634]
apriltag bezier - count : 822,   delta_t : 13,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.27061749 -0.13252671 -8.51776028]
apriltag bezier - count : 822,   delta_t : 14,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.26008224 -0.1319119  -8.50163269]
apriltag bezier - count : 822,   delta_t : 15,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.24593115 -0.12946761 -8.47790051]
apriltag bezier - count : 822,   delta_t : 16,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.23753643 -0.1269498  -8.46230507]
apriltag bezier - count : 822,   delta_t : 17,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.22642565 -0.12209873 -8.43908405]
apriltag bezier - count : 822,   delta_t : 18,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.21996355 -0.11826681 -8.42378139]
apriltag bezier - count : 822,   delta_t : 19,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.21426392 -0.11403342 -8.4086771 ]
apriltag bezier - count : 822,   delta_t : 20,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.20521641 -0.10900223 -8.38374329]
apriltag bezier - count : 822,   delta_t : 21,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.19767141 -0.10782312 -8.36410332]
apriltag bezier - count : 822,   delta_t : 22,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.18792009 -0.105506   -8.33559608]
apriltag bezier - count : 822,   delta_t : 23,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.18242359 -0.10369246 -8.31718063]
apriltag bezier - count : 822,   delta_t : 24,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.17564201 -0.10070062 -8.29040241]
apriltag bezier - count : 822,   delta_t : 25,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.17051935 -0.0975267  -8.26464462]
apriltag bezier - count : 822,   delta_t : 26,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16796923 -0.09536713 -8.24793625]
apriltag bezier - count : 822,   delta_t : 27,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16607475 -0.09320614 -8.2316227 ]
apriltag bezier - count : 822,   delta_t : 28,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16437292 -0.09001503 -8.20781898]
apriltag bezier - count : 822,   delta_t : 29,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.1639533  -0.08690898 -8.18466568]
apriltag bezier - count : 822,   delta_t : 30,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16434717 -0.08488334 -8.16958714]
apriltag bezier - count : 822,   delta_t : 31,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16473389 -0.08389291 -8.16215706]
apriltag bezier - count : 822,   delta_t : 32,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16743851 -0.08011944 -8.13302326]
apriltag bezier - count : 822,   delta_t : 33,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.16837883 -0.07923137 -8.12587929]
apriltag bezier - count : 822,   delta_t : 34,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.17179537 -0.07669728 -8.10480499]
apriltag bezier - count : 822,   delta_t : 35,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.17453861 -0.07509524 -8.09104252]
apriltag bezier - count : 822,   delta_t : 36,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.17927027 -0.07286028 -8.07067871]
apriltag bezier - count : 822,   delta_t : 37,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.18280268 -0.07149486 -8.05740738]
apriltag bezier - count : 822,   delta_t : 38,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.1887784  -0.06995634 -8.03881073]
apriltag bezier - count : 822,   delta_t : 39,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.19205093 -0.06579386 -8.02283192]
apriltag bezier - count : 822,   delta_t : 40,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.19763422 -0.06038376 -8.00074863]
apriltag bezier - count : 822,   delta_t : 41,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.20175695 -0.05729894 -7.98714972]
apriltag bezier - count : 822,   delta_t : 42,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.20845222 -0.05340393 -7.96807528]
apriltag bezier - count : 822,   delta_t : 43,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.21321106 -0.05126648 -7.95618057]
