self.yaw: 3.046074867248535
self.home: array('f', [-0.4219454228878021, 2.5425403118133545, 3.854236364364624])
apriltag bezier - count : 422,   delta_t : 39,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.36042538  2.74181843 -5.83566427]
apriltag bezier - count : 422,   delta_t : 40,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.35372737  2.74267244 -5.82828617]
apriltag bezier - count : 422,   delta_t : 41,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.34684232  2.7433691  -5.82071972]
apriltag bezier - count : 422,   delta_t : 42,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.34002641  2.74390483 -5.81294298]
apriltag bezier - count : 422,   delta_t : 43,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.33322233  2.744941   -5.8051219 ]
apriltag bezier - count : 422,   delta_t : 44,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.32634225  2.74583578 -5.79713488]
apriltag bezier - count : 422,   delta_t : 45,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.31941158  2.74660802 -5.78915167]
apriltag bezier - count : 422,   delta_t : 46,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.31213725  2.74728489 -5.78106117]
apriltag bezier - count : 422,   delta_t : 47,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.30492079  2.74769235 -5.7728734 ]
apriltag bezier - count : 422,   delta_t : 48,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.29810545  2.74836588 -5.76478863]
apriltag bezier - count : 422,   delta_t : 49,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.29110017  2.74892569 -5.7564764 ]
apriltag bezier - count : 422,   delta_t : 50,   xf : [-0.17755572  3.12434602  2.44069433],   vehicle_position : [-0.28425267  2.74938726 -5.74795818]
apriltag bezier - count : 415,   delta_t : 1,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.27731717  2.74989247 -5.73935747]
